country,region,date,retail,grocery,parks,transit
Indonesia,Jakarta,2021-01-01,-46,-27,-51,-61
Indonesia,Jakarta,2021-01-02,-39,-15,-50,-41
Indonesia,Jakarta,2021-01-03,-40,-19,-58,-34
Indonesia,Jakarta,2021-01-04,-29,-5,-50,-39
Indonesia,Jakarta,2021-01-05,-32,-9,-53,-39
Indonesia,Jakarta,2021-01-06,-30,-11,-52,-40
Indonesia,Jakarta,2021-01-07,-31,-10,-51,-41
Indonesia,Jakarta,2021-01-08,-28,-9,-44,-41
Indonesia,Jakarta,2021-01-09,-38,-18,-58,-39
Indonesia,Jakarta,2021-01-10,-32,-9,-55,-34
Indonesia,Jakarta,2021-01-11,-32,-12,-50,-43
Indonesia,Jakarta,2021-01-12,-36,-17,-54,-44
Indonesia,Jakarta,2021-01-13,-36,-18,-53,-45
Indonesia,Jakarta,2021-01-14,-38,-23,-53,-48
Indonesia,Jakarta,2021-01-15,-36,-22,-48,-49
Indonesia,Jakarta,2021-01-16,-39,-21,-53,-44
Indonesia,Jakarta,2021-01-17,-41,-24,-57,-43
Indonesia,Jakarta,2021-01-18,-39,-24,-55,-48
Indonesia,Jakarta,2021-01-19,-39,-23,-56,-49
Indonesia,Jakarta,2021-01-20,-38,-23,-55,-49
Indonesia,Jakarta,2021-01-21,-39,-24,-54,-49
Indonesia,Jakarta,2021-01-22,-35,-20,-47,-48
Indonesia,Jakarta,2021-01-23,-37,-17,-52,-41
Indonesia,Jakarta,2021-01-24,-48,-33,-71,-50
Indonesia,Jakarta,2021-01-25,-34,-16,-52,-45
Indonesia,Jakarta,2021-01-26,-36,-18,-55,-45
Indonesia,Jakarta,2021-01-27,-35,-18,-54,-46
Indonesia,Jakarta,2021-01-28,-34,-15,-50,-45
Indonesia,Jakarta,2021-01-29,-33,-14,-46,-45
Indonesia,Jakarta,2021-01-30,-36,-12,-56,-39
Indonesia,Jakarta,2021-01-31,-33,-8,-60,-35
Indonesia,Jakarta,2021-02-01,-33,-12,-54,-43
Indonesia,Jakarta,2021-02-02,-32,-7,-52,-42
Indonesia,Jakarta,2021-02-03,-34,-15,-57,-45
Indonesia,Jakarta,2021-02-04,-35,-17,-55,-45
Indonesia,Jakarta,2021-02-05,-28,-6,-46,-42
Indonesia,Jakarta,2021-02-06,-31,-6,-52,-35
Indonesia,Jakarta,2021-02-07,-39,-20,-66,-41
Indonesia,Jakarta,2021-02-08,-33,-14,-55,-43
Indonesia,Jakarta,2021-02-09,-31,-9,-55,-42
Indonesia,Jakarta,2021-02-10,-29,-8,-52,-41
Indonesia,Jakarta,2021-02-11,-27,-6,-47,-37
Indonesia,Jakarta,2021-02-12,-34,-17,-41,-55
Indonesia,Jakarta,2021-02-13,-35,-15,-48,-41
Indonesia,Jakarta,2021-02-14,-37,-18,-57,-38
Indonesia,Jakarta,2021-02-15,-32,-12,-51,-41
Indonesia,Jakarta,2021-02-16,-39,-21,-58,-44
Indonesia,Jakarta,2021-02-17,-32,-12,-51,-42
Indonesia,Jakarta,2021-02-18,-39,-23,-57,-45
Indonesia,Jakarta,2021-02-19,-30,-10,-46,-43
Indonesia,Jakarta,2021-02-20,-38,-14,-55,-40
Indonesia,Jakarta,2021-02-21,-35,-12,-57,-38
Indonesia,Jakarta,2021-02-22,-31,-12,-50,-43
Indonesia,Jakarta,2021-02-23,-34,-15,-54,-43
Indonesia,Jakarta,2021-02-24,-34,-18,-53,-44
Indonesia,Jakarta,2021-02-25,-29,-7,-49,-41
Indonesia,Jakarta,2021-02-26,-24,-2,-41,-39
Indonesia,Jakarta,2021-02-27,-24,4,-42,-30
Indonesia,Jakarta,2021-02-28,-28,-3,-49,-31
Indonesia,Jakarta,2021-03-01,-29,-5,-51,-40
Indonesia,Jakarta,2021-03-02,-29,-5,-52,-40
Indonesia,Jakarta,2021-03-03,-27,-5,-49,-39
Indonesia,Jakarta,2021-03-04,-29,-10,-50,-40
Indonesia,Jakarta,2021-03-05,-26,-6,-45,-39
Indonesia,Jakarta,2021-03-06,-26,-2,-45,-29
Indonesia,Jakarta,2021-03-07,-31,-9,-52,-31
Indonesia,Jakarta,2021-03-08,-28,-7,-48,-39
Indonesia,Jakarta,2021-03-09,-29,-9,-49,-38
Indonesia,Jakarta,2021-03-10,-25,-5,-46,-34
Indonesia,Jakarta,2021-03-11,-28,-11,-41,-51
Indonesia,Jakarta,2021-03-12,-26,-6,-39,-40
Indonesia,Jakarta,2021-03-13,-28,-4,-40,-32
Indonesia,Jakarta,2021-03-14,-31,-9,-44,-30
Indonesia,Jakarta,2021-03-15,-27,-6,-43,-37
Indonesia,Jakarta,2021-03-16,-29,-9,-47,-38
Indonesia,Jakarta,2021-03-17,-28,-8,-43,-38
Indonesia,Jakarta,2021-03-18,-27,-8,-42,-38
Indonesia,Jakarta,2021-03-19,-24,-5,-37,-36
Indonesia,Jakarta,2021-03-20,-27,-4,-42,-30
Indonesia,Jakarta,2021-03-21,-29,-7,-46,-31
Indonesia,Jakarta,2021-03-22,-28,-7,-45,-38
Indonesia,Jakarta,2021-03-23,-29,-8,-45,-38
Indonesia,Jakarta,2021-03-24,-28,-9,-42,-38
Indonesia,Jakarta,2021-03-25,-25,-4,-41,-37
Indonesia,Jakarta,2021-03-26,-21,0,-34,-35
Indonesia,Jakarta,2021-03-27,-27,-5,-43,-29
Indonesia,Jakarta,2021-03-28,-26,-3,-44,-28
Indonesia,Jakarta,2021-03-29,-25,-2,-42,-36
Indonesia,Jakarta,2021-03-30,-26,-5,-45,-36
Indonesia,Jakarta,2021-03-31,-25,-4,-43,-32
Indonesia,Jakarta,2021-04-01,-19,9,-34,-27
Indonesia,Jakarta,2021-04-02,-20,3,-24,-44
Indonesia,Jakarta,2021-04-03,-27,-3,-41,-31
Indonesia,Jakarta,2021-04-04,-25,-1,-42,-22
Indonesia,Jakarta,2021-04-05,-22,3,-40,-32
Indonesia,Jakarta,2021-04-06,-23,1,-42,-32
Indonesia,Jakarta,2021-04-07,-23,-2,-43,-32
Indonesia,Jakarta,2021-04-08,-21,1,-37,-31
Indonesia,Jakarta,2021-04-09,-16,3,-32,-31
Indonesia,Jakarta,2021-04-10,-19,6,-33,-20
Indonesia,Jakarta,2021-04-11,-21,4,-41,-18
Indonesia,Jakarta,2021-04-12,-21,3,-39,-29
Indonesia,Jakarta,2021-04-13,-38,-11,-56,-44
Indonesia,Jakarta,2021-04-14,-35,-15,-54,-41
Indonesia,Jakarta,2021-04-15,-34,-14,-51,-40
Indonesia,Jakarta,2021-04-16,-26,-3,-40,-38
Indonesia,Jakarta,2021-04-17,-31,-7,-50,-35
Indonesia,Jakarta,2021-04-18,-31,-8,-58,-35
Indonesia,Jakarta,2021-04-19,-28,-7,-46,-37
Indonesia,Jakarta,2021-04-20,-28,-5,-46,-37
Indonesia,Jakarta,2021-04-21,-26,-6,-46,-37
Indonesia,Jakarta,2021-04-22,-26,-7,-44,-38
Indonesia,Jakarta,2021-04-23,-23,-4,-39,-36
Indonesia,Jakarta,2021-04-24,-24,0,-44,-29
Indonesia,Jakarta,2021-04-25,-25,-3,-56,-29
Indonesia,Jakarta,2021-04-26,-23,-2,-41,-35
Indonesia,Jakarta,2021-04-27,-25,-3,-46,-36
Indonesia,Jakarta,2021-04-28,-25,-6,-48,-35
Indonesia,Jakarta,2021-04-29,-20,3,-42,-33
Indonesia,Jakarta,2021-04-30,-13,13,-33,-29
Indonesia,Jakarta,2021-05-01,-15,14,-39,-22
Indonesia,Jakarta,2021-05-02,-16,11,-53,-20
Indonesia,Jakarta,2021-05-03,-15,13,-39,-29
Indonesia,Jakarta,2021-05-04,-17,10,-41,-28
Indonesia,Jakarta,2021-05-05,-19,5,-43,-30
Indonesia,Jakarta,2021-05-06,-20,4,-43,-36
Indonesia,Jakarta,2021-05-07,-13,12,-36,-36
Indonesia,Jakarta,2021-05-08,-17,12,-46,-29
Indonesia,Jakarta,2021-05-09,-16,11,-56,-28
Indonesia,Jakarta,2021-05-10,-12,17,-37,-36
Indonesia,Jakarta,2021-05-11,-14,20,-38,-35
Indonesia,Jakarta,2021-05-12,-21,19,-35,-46
Indonesia,Jakarta,2021-05-13,-34,-13,-28,-56
Indonesia,Jakarta,2021-05-14,-28,-8,-25,-54
Indonesia,Jakarta,2021-05-15,-27,-5,-40,-37
Indonesia,Jakarta,2021-05-16,-26,-4,-53,-33
Indonesia,Jakarta,2021-05-17,-21,3,-45,-40
Indonesia,Jakarta,2021-05-18,-22,1,-44,-34
Indonesia,Jakarta,2021-05-19,-21,2,-43,-33
Indonesia,Jakarta,2021-05-20,-21,3,-40,-37
Indonesia,Jakarta,2021-05-21,-20,0,-39,-35
Indonesia,Jakarta,2021-05-22,-23,2,-45,-27
Indonesia,Jakarta,2021-05-23,-24,0,-50,-26
Indonesia,Jakarta,2021-05-24,-23,-2,-45,-33
Indonesia,Jakarta,2021-05-25,-17,9,-41,-29
Indonesia,Jakarta,2021-05-26,-16,4,-31,-42
Indonesia,Jakarta,2021-05-27,-19,4,-39,-32
Indonesia,Jakarta,2021-05-28,-14,10,-33,-31
Indonesia,Jakarta,2021-05-29,-24,0,-48,-28
Indonesia,Jakarta,2021-05-30,-19,6,-46,-24
Indonesia,Jakarta,2021-05-31,-14,10,-35,-29
Indonesia,Jakarta,2021-06-01,-15,7,-30,-41
Indonesia,Jakarta,2021-06-02,-17,8,-40,-28
Indonesia,Jakarta,2021-06-03,-15,10,-38,-30
Indonesia,Jakarta,2021-06-04,-13,10,-34,-30
Indonesia,Jakarta,2021-06-05,-15,13,-36,-21
Indonesia,Jakarta,2021-06-06,-19,5,-45,-22
Indonesia,Jakarta,2021-06-07,-15,10,-38,-30
Indonesia,Jakarta,2021-06-08,-18,6,-41,-31
Indonesia,Jakarta,2021-06-09,-16,6,-39,-30
Indonesia,Jakarta,2021-06-10,-16,7,-37,-30
Indonesia,Jakarta,2021-06-11,-14,7,-33,-30
Indonesia,Jakarta,2021-06-12,-16,11,-36,-22
Indonesia,Jakarta,2021-06-13,-19,5,-42,-23
Indonesia,Jakarta,2021-06-14,-17,7,-36,-30
Indonesia,Jakarta,2021-06-15,-22,1,-43,-32
